head,rel,tail
entrepreneurship,leads does,advancement
entrepreneurship,leads,advancements
entrepreneurship,leads,opportunity
opportunity,related to,technology
opportunity,based,growth
opportunity,based,entrepreneurship
entrepreneurship,activity,increases
increase,activity,decreases
individual,activity,decreases
income,activity,decreases
backgroundq background,related to,background background
increase,activity,increases
increases,activity,increases
inequality,activity,have
growth growth,attribute,economic
progress,attribute,progressive progressive
tax,attribute,progressive
titletitle,related to,tax
title,related to,tax
tax,related to,title
tax,related to,difference
tax,related to,coefficient
tax,related to,index
tax,related to,rate
tax,related to,inequality
tax,related to,income
tax,related to,distribution
tax,related to,system
tax progressive,attribute,progressive
tax tax,attribute,progressive
end,related to,tax tax
tax,is does,tax
system,related to,tax
name,related to,tax
difference,related to,name
tax,related to,tax tax
tax,is is,tax
tax rate,related to,tax
tax,related to,tax rate
system,attribute,progressive
tax,related to,system income
tax,related to,name
tax system a,related to,name
tax,related to,tax system a
distribution,related to,name
wealth,related to,name
##q,related to,tax
tax,related to,##q
tax rate,increases,tax
tax rate,increases,base
base,attribute,taxable
tax rate,increases,base amount
base amount,attribute,taxable
tax,activity,increases
tax rate,related to,name
inequality,related to,level
end,related to,access
savings,related to,education
education,related to,savings
education,does,education
education,activity,prepare
education,attribute,important
savings savings,attribute,optional optional
savings,related to,savings savings
savings,related to,access
savings,related to,##q
education investmentstitle,related to,savings
savings,related to,education investmentstitle
investment,related to,savings
end,related to,investment
savings,related to,title
savings,related to,text
##tle,related to,investment
savings,related to,##tle
savings,related to,investment
investment,does,savings
savings,attribute,economic
education,related to,investment
savings,attribute,more
investment,does,education
investment,does,people
investment,does,lead
savings,attribute,less
savings,activity,working
savings,related to,individuals
savings,related to,ability
savings,does,savings
savings,related to,savings potential
investments,related to,savings
investments,facing,savings
investment,faced,end
##title,related to,investment
savings,related to,##title
savings,attribute,lower
access,related to,investment
savings,attribute,higher
incomes,attribute,higher
future,activity,prepare
##tle,related to,has
##tle,related to,class
incomes,related to,education
income,related to,incomes
name,wrote,title
title,related to,con
name name,given,title
countries,related to,title
countries,related to,policy
has,attribute,economic
inequality,attribute,economic
countries,related to,inequality
inequality,related to,global
name,attribute,which
inequality,have,inequality
mobility mobility,attribute,higher economic
mobility,attribute,higher economic
mobility,activity,have
##tle,related to,countries
global,related to,title
titletitle,attribute,little
countries,related to,text
type,related to,countries
end,related to,development
levels,attribute,lower
inequality,related to,titletitle
changes,attribute,technological
##q,related to,changes
globalization,related to,changes
titletitle,related to,globalization
title,related to,globalization
globalization,presented,occupation
profession,related to,globalization
profession problems,related to,globalization
sociologist,related to,profession
end,related to,sociologist
college,related to,sociologist
college,activity,associated
globalization,related to,background
occupation,related to,background
background,related to,occupation
background,related to,field
background,related to,sociologist
college,associated,background
college,associated,withq
inequality inequality,attribute,economic
countries,attribute,rich
countries countries,attribute,rich
countries,attribute,poor
effect,related to,title
theorem theorem,related to,theorem
end,activity,##ize
islamist,attribute,islamist
##h,related to,monarchy
background,related to,monarchy
monarchy,attribute,saudi saudi
background,related to,puppet
background,related to,pup
puppet,accuse,background
background,activity,accused
puppet,did,background
islamists,related to,puppet
islamists,accuse,background
puppet,did,islamists
islamists,accuse,monarchy
islamists,accuse,regime
regime,attribute,saudi
puppet,related to,background
attack,related to,background
title,related to,result
islamists,attribute,domestic
##tle,related to,brotherhood
end,related to,violence violence
titletitle,related to,violence
name,related to,organization
end,related to,1970s
1970s,related to,text
title,related to,1970s
1970s,related to,title
organization,related to,1970s
1970s,related to,organization
1970s,was,1970s
end,related to,brotherhood
brotherhood,activity,led
hasanounce,activity,led
organization,activity,executed
organization,related to,text
movements,activity,led
organization,related to,titletitle
means,achieving,goals
background,related to,mid
group,attribute,egyptian
violence,activity,get
title,related to,violence
titletitle,attribute,unsuccessful
major,attribute,major
violence,related to,group
name,related to,group
violence,activity,renounce
name,related to,##titletitle
name,activity,the
government,activity,overthrow
campaign,overthrow,government
campaign,activity,turn
end,activity,turn
the,related to,history
view,attribute,different
view,related to,party
view,attribute,muslim
take,related to,party
future,related to,take
history,related to,take
party,related to,background
background,related to,party
background,related to,take
party,did,background
end,related to,stit
background,activity,' s is
struggle,activity,take
struggle,change,change
struggle,change,public
public,attribute,muslim public
opinion,attribute,muslim public
struggle,change,opinion opinion
opinion opinion,attribute,muslim public
research,activity,carry
climate,activity,monitor
data,carry,research
text,carry,research
title,related to,data
information,attribute,available
information,carry,research
climate,carry,research
sources,activity,reviewed
peer,related to,text
peer,reviewed,sources
peer,related to,title
peer,related to,what
title,does,peer
peer,related to,difference
peer,related to,purpose
peer,reviewed,peer
peer,activity,reviewed
peer,related to,non
peer,related to,model
reports,related to,model results
government,related to,reports
peer,related to,government
government agencies,related to,reports
government,related to,government agencies
peer,related to,government agencies
non,related to,government agencies
organizations,related to,non
organizations,attribute,governmental
peer,related to,organizations
industry,related to,organizations
peer,related to,industry
organizations,related to,government agencies
industry journals,related to,organizations
journals,related to,organizations
quality,attribute,sufficient
difference areas,related to,title
peer,attribute,main
peer,related to,source
role,related to,data
purpose,related to,data
the,activity,does
int,related to,name
organization group,related to,name
book,related to,organization
name,related to,book
states,related to,name
name,related to,states
authors,activity,contributing
number,attribute,larger
what,related to,the
##tle,related to,number
' s,related to,name
text,coordinating,authors
authors,attribute,lead
authors,activity,coordinating
title,writing,sections
chapters,coordinating,authors
chapter,related to,chapters
authors,related to,chapters
end,related to,authors
lead,related to,text
author,related to,text
author,related to,authors
text,working,group chairs
group chairs,activity,working
lead,working,group chairs
authors,working,group chairs
author,working,group chairs
title,working,group chairs
##q,working,group chairs
chapters,contributing,authors
chapters chapters,attribute,many
chapters,attribute,many
chapters,have lead,authors authors
chapters,have lead,authors
chapters,have,authors
chapters,have have,contrib contrib
chapters,have contributing,authors chapters
chapters,have contributing,authors authors
chapters,have contributing,authors
authors,related to,text
authors,related to,title
authors,related to,background
chapters,related to,background
activities,attribute,human
warming,attribute,additional
surface surface,related to,earth
title,related to,surface
executive,related to,title
i report,related to,##g
summary,related to,##g
policymakers report report predict,related to,summary
policymakers report report,related to,summary
policymakers report,related to,##g i summary
policymakers report,say,warming
policymakers report,say,activity
policymakers report,related to,summary
policymakers report,say,activities
policymakersakers,related to,summary
policymakersaker,related to,summary
policymakers report,say,consequences
title,related to,does
title,related to,temperature
century,attribute,early twentieth
type homes homes,related to,homes
century homes,attribute,early twentieth
title,related to,miles
miles,related to,text
miles,related to,title
miles,related to,name
population,related to,title
miles,related to,town
title,related to,counties
title,related to,population
title,related to,town
settlement,related to,name
title,related to,settlement
town town,related to,name
title,related to,town town
title,was,population
capital,related to,title
name,given,title
area,related to,town
title,related to,running
river,runs,title
river,attribute,many
colony,related to,river
title,related to,colony
river,flows,title
title,related to,beach
fort,related to,name
colony,attribute,french
name,was,name
background,was,##q
background,is did,background
background,related to,settlement
city,attribute,first
the s,related to,name
title,related to,the s
mayor,related to,name
title,related to,mayor
title,related to,chief
##q,related to,city
title,related to,civilization
name chief,related to,title
chief,related to,name
chief,attribute,chief
chiefdomatur,related to,name
chiefdom,related to,name
chief,related to,chiefdom
civilization,related to,title
is is,related to,title
pottery,related to,name
century,attribute,16th
uan,related to,text
a a,related to,the
background,discovered,background
colony,related to,fort
fort,related to,settlement
settlement,related to,fort
settlement,called,river
##q,related to,settlement
stq by,related to,settlement
end,related to,settlement
text,related to,settlement
background,led is,background
background,activity,founded
background,led,background
leader,related to,background
background,related to,leader
location,related to,background
background,related to,fort settlement
background,related to,fort
name,built,background
fort,was,background
background,related to,nation
background,activity,led is
fort,rebuilt,background
name,attribute,british
location,attribute,first
story,related to,title
cow,related to,town
title,related to,northeast
title,related to,afterq
event,related to,background
event,attribute,first
fruit fruits,related to,indigo
fruits,related to,indigo
export,related to,fruits
event,related to,lumber
reason,related to,lumber
name,related to,lumber
to area,related to,name
battle,was,battle
name,related to,a battle
battle,related to,name
name,related to,battle
battle,resulted,name
battle,was,name
battle,activity,was
end,related to,skirmish
title,related to,skirmish
background,related to,battle
battle,related to,background
church,related to,background
background,related to,church
brick,related to,background
nickname,related to,title
railroad,related to,name
soldier,attribute,confederate
title,activity,sail
soldiers,attribute,old confederate
fire,activity,caused
fire,related to,text
fire,activity,was
titleqq,related to,title
title,activity,died
name,title,##tle
fire,related to,name
fire,related to,fire fire
fire,attribute,great
end,related to,fire
fire,related to,building
fire,related to,structure
structure,built built,name
structure,built,architect
structure,built,##h
structure,built,oa1
structure,built,##hurch
structure,built,upch
moss,attribute,spanish
end,related to,moss
were,attribute,first
fire,activity,destroyed
multi,activity,was
##ch,related to,background
background,related to,##ch
class,related to,construction
background,activity,began
class,attribute,middle
city,attribute,much
city,related to,taxtitle
tax base,related to,city
##ss,related to,tax base
tax base,dissipated,city
title,related to,city limits
end,related to,city limits
residents,related to,addition
voters,related to,title
annexation,related to,title
result,related to,title
voters,attribute,new
annex,related to,tax issues
tax issues,annexing,communities
tax issues,annexing,outlying
communities,attribute,outlying
a a,activity,was
name,activity,proposed
background,happened were,background
city city,related to,background
background,related to,city city
government,related to,city
city government,related to,name
voters,approved,voters
voters,approved,plan
elections,related to,title
year,related to,election
##8,related to,background
election,held,elections
was,related to,election
##z,related to,text
name mayor,related to,title
voters,related to,referendum
end,related to,voters
end,related to,planq
end,related to,plan
plan,related to,text
title,related to,plan
plan,related to,title
plan,related to,name
plan,related to,consolidation
end,related to,city projects
background,related to,result mayor
background,related to,mayor
consolidation,related to,name
background,related to,consolidation
name,related to,south
end,activity,has
percent,related to,title
title,related to,water
title,related to,density
title,related to,nas
title,related to,county
county,related to,title
title,related to,qtitle
land,attribute,square
title,related to,lies
name,related to,miles
##cast,related to,building
##cast,related to,tension
concrete,activity,tensioned
text,tensioned,concrete structure
world,tensioned,concrete structure
river,tensioned,concrete structure
end,related to,downtown
isq,related to,text
text,related to,world
climate,related to,text
climate,related to,##tle
climate,related to,rainfall
rainfall,related to,average
climate,related to,title
climate,attribute,average
temperature,attribute,average
temperature,have,title
averageq,related to,temperature
rop,related to,text
rain,related to,temperature
climate,does,temperature
climate,have,title
climate,have,end
climate,have,subt
climate,activity,have
sub,activity,have
subt,attribute,subtropical
bey,activity,have
rain,activity,have
climate,activity,fall
rainfall,related to,climate average
climate,does,climate
climate,have,rain
end,activity,have
col col,related to,background
col,related to,background
month,related to,background
month,attribute,coldest
col,recorded,temperature
temperature,related to,month
month,related to,col
background,related to,month
background,related to,temperature temperature
average,related to,month
title,related to,storm
storm,related to,name
storm,hit,hurricane
storm,hit,storm
storm,hit,storm storm
storm,attribute,tropical
storm,hit,end
storm,hit,titletitle
storm,hit,title
storm,related to,title
title,was,people
storm,hit hit,the
end,related to,storm
residents,related to,title
air,related to,text
end,related to,air
is name,related to,title
title,related to,is name
residents name,related to,title
title,related to,home
year people,related to,background
year,related to,did name
year,activity,were
people,related to,year
people people,related to,year
the,related to,people
living,related to,people
end,related to,people
city residents,related to,people
city groups,attribute,ethnic
background,related to,year people
city residents,related to,background
background,related to,city residents
year group,related to,background
background,related to,year group
city groups,related to,background
background,related to,city groups
city,was is,background
year,were,background
background0,related to,background
background0,related to,text
residents residents,related to,year
background,related to,residents residents
year,were,people
backgroundqtitle,related to,text
background,related to,people people
residents,related to,city
background,related to,residents
title,related to,person
name,related to,wealth
wealth,related to,percent
people,related to,percent
women,related to,text
genders,provide,disadvantage
titletitle,related to,men
genders,provide,genders
genders,provide,bot advantage
genders,provide,bot
males,related to,title
gender pay gap,related to,males
gender gender,related to,females
title,related to,author
title,related to,economics
income,activity,attributed
problems,related to,health
problems,attribute,social
inequality,related to,effects
unemployment,related to,title
problem,attribute,important
problem,rising,inequality
term,related to,growth
##q,related to,growth
end,related to,unemployment unemployment
end,related to,unemployment
unemployment,related to,text
unemployment,related to,effect
unemployment,related to,factor
unemployment,related to,esteem
title,related to,factor
growth,related to,inequality
factor,rising,inequality
title,related to,year year
factor,related to,title
factor,attribute,most
problem,related to,title
year,did,title
being,related to,child
being,related to,child well
countries,related to,being
health,related to,text
income inequalities,related to,states
income inequalities,attribute,smaller
income inequalities,does,child
background,related to,states
states,related to,background
end,related to,states
background,activity,created
high,related to,quality quality
quality quality,related to,high
institutions,related to,quality
quality,related to,institutions
country,related to,quality
quality,related to,country
institutions,related to,country
quality,related to,education
levels,related to,institutions
levels,attribute,high
quality,related to,levels
quality,related to,titletitle
quality,related to,title
via,related to,number
middle,related to,gdp growth
class,related to,gdp growth
income,related to,country
class classes,attribute,middle
class,matter,growth
education,related to,growth
quality,related to,society
quality,related to,text
institutions,does,quality
quality,related to,inequality
quality,related to,growth
quality,related to,income
percent,related to,income share
top,related to,income share
bottom,related to,income share
education,attribute,widespread
importance,activity,increasing
per levels,attribute,higher
growthq,related to,investment
growth,related to,investment
investment,related to,growth
growth,related to,rates
lead,related to,investment
rates,related to,investment
bar,related to,investment
ortitle,related to,lead times
yearsq,related to,lead times
years,related to,lead times
investmenta,related to,growth
background,does,bar
background,related to,bar
counties,attribute,swedish
institution,related to,background
background,related to,institution
bar,related to,background
background,related to,q bar
background,does,end
title,related to,curve hypothesis
costs,activity,are
healthcare,related to,health
consumption,attribute,aspirational
consumption consumption,attribute,aspirational
consumptionation,attribute,aspirational
incomes,attribute,lower
incomes,related to,text
incomes,related to,income
income earners,attribute,middle
incomes,related to,income earners
incomes,related to,earners
consumption,related to,text
consumption,related to,debt
consumption,related to,result
consumption,activity,taking
text,related to,debtq
lead,related to,result
debt,activity,taking
instability,related to,inequality
instability,related to,title
income,attribute,middle
income earners,related to,term
people,take,take
people,take,debt
leads,activity,leads
value,related to,type
prime,related to,value
value,related to,function
series,attribute,harmonic
background,related to,identity
end,related to,identity
function,related to,identity
prime,attribute,prime
background,related to,prime
numbers,related to,function
background,related to,numbers
primes,related to,numbers
title,activity,proposed
title,named,title
hypothesis,related to,title
title,related to,hypothesis
hyp,related to,title
theorem,related to,title
conject,related to,title
##ympt,related to,hypothesis
##ympt,attribute,as
distribution,related to,hypothesis
distribution source,related to,hypothesis
distribution,related to,prime
distribution number,attribute,asymptotic
distribution,attribute,asymptotic
numbers,related to,primes
intervals,related to,primes
log,related to,primes
root,related to,numbers
end,related to,theorem
prime,related to,text
end,related to,numbers
numbers,related to,text
con,related to,title
numbers,related to,conject
end,related to,theorem theorem
theorem theorem,related to,text
theorem,related to,text
title,related to,theorem
statement,related to,theorem
theorem,related to,statement
theorem,the,theorem
theorem,activity,states
theorem,says,theorem
theorem,states,theorem
theorem,states,numbers
theorem,states,integers
theorem,activity,written written
theorem,activity,expressed expressed
theorem,activity,expressed
theorem,activity,written
sum sum,activity,expressed
sum,activity,expressed
theorem,related to,sum
theorem,related to,product
theorem,related to,prime
theorem,states,integer
theorem,activity,propose
problems,attribute,conjectural
background background,related to,##not
background,propose,background
background,activity,propose
dam,related to,name
begin,related to,name
country,attribute,other
river,attribute,other
lie,activity,separates
country,flows,country
country,activity,separates
river,activity,separates
name,related to,height
flow,related to,height
height,related to,flow
valley,related to,text
river,related to,##h
lake,related to,flow
end,activity,separates
compression,related to,term
compression,attribute,excessive
compression compression,related to,term
kick,related to,compression
compression,kick,titletitle
background,related to,engine
name exhaust,related to,background
background,related to,name exhaust
compressionening,related to,term
compressionening,attribute,excessive
background,related to,compressionening
expansion,related to,compression
background,related to,expansion
compressionq,related to,compression
event kick,related to,expansion
short,related to,term
short,attribute,excessive
engine,related to,text
background,related to,steam
title,related to,engine
title,related to,sav
engine,related to,name
steam,related to,name
difference,attribute,first
engine,related to,title
was year,was,name
pollution,related to,background
background,related to,pollution
background,related to,produce
background,related to,plants
engine,related to,steam
engine piston,related to,engine
steam,related to,engine
rotary,related to,engine
piston,related to,rotary
engine,attribute,rotary
piston,related to,text
gear,related to,valve gear
rotary,related to,title
major,related to,control
cutoff,related to,control
end,related to,cutoff
engine development,related to,major
engine an,related to,major
engine,related to,major
piston rotary,related to,major
rotary engine,related to,major
advantage,attribute,main
steam,related to,efficiency
screw,related to,chain
##itle,related to,screw st
chain,related to,chain chain
screw st,related to,chain
chain,related to,motor
end,related to,motor
chain,related to,text
chain,related to,title
chain,related to,name
chain,related to,engine
chain,attribute,super
##cu,related to,text
##cu,attribute,mer
oxide,related to,##cu
oxide,attribute,##ric
##cu,related to,oxide
title,related to,oxide
##cu,related to,title
##cu,related to,the
priest,related to,oxide
##cu,related to,priest
##cu,related to,name call
nameley,observe,##cu
name,call,##cu
name,call,experiment
name,call,gas
name,call,gas gas
##cu,activity,discovered
##cu,activity,made
end,activity,##logisticated
##cu,activity,did
##cu,activity,was
##phlogist,attribute,de
##ph,attribute,de
name,related to,air
title,related to,air
air,did,name
air,was,name
priest,related to,air
name,related to,priest
air,observe,priest
##ph,activity,##logisticated
air,related to,##ph
air,attribute,##logisticated
##ph,activity,produced
##q,activity,produced
air,was,priest
air,was,##ly
oxygen,related to,text
priest,related to,text
background,related to,oxygen
oxygen,related to,title
point,related to,color
liquid,related to,color
oxygen oxygen,attribute,liquid
oxygen,related to,color
oxygen,attribute,liquid
title,related to,oxygen
sky,related to,oxygen
blue,related to,oxygen
end,related to,blue
##q,related to,oxygen
90title,related to,oxygen
90title,attribute,blue
end,related to,oxygen
##tle,related to,oxygen
color,related to,oxygen
oxygen pressure,related to,oxygen
liquid,attribute,liquid
oxygena,attribute,liquid
nitrogen,related to,liquid
nitrogen,attribute,liquid liquid
oxygen,related to,oxygen oxygen
nitrogen,related to,text
nitrogen,attribute,liquid
nitrogen,related to,titletitle
nitrogen,related to,color
nitrogen,related to,boiling boiling
is temperature temperature,related to,nitrogen
nitrogen,related to,is temperature temperature
color,related to,nitrogen
oxygen,related to,liquid
nitrogen,related to,oxygen
oxygen liquid,related to,color
oxygen liquid,attribute,liquid
nitrogen,related to,gas
oxygenq,related to,oxygen
nitrogen,related to,oxygenq
nitrogen,related to,oxygenqq
light,related to,oxygen
nitrogen,related to,light
nitrogen,related to,title
temperature,related to,oxygen
nitrogen,related to,temperature
boiling,related to,oxygen
temperature melting temperature temperature,related to,oxygen
boiling point liquid,related to,oxygen
temperature melting temperature oxygen,related to,oxygen
boiling point,related to,oxygen
oxygen oxygen,related to,boiling point
liquid,related to,boiling point
nitrogen,related to,oxygen oxygen
oxygen,related to,boiling point
gas,related to,oxygen
titletitle,related to,oxygen
element,related to,oxygen
oxygenq at,related to,oxygen
sky,related to,text
end,related to,sky
temperature temperature oxygen,related to,background
background,related to,temperature temperature oxygen
color,related to,background
background,related to,oxygen liquid
background,related to,blue
background,related to,sky
temperature,related to,background
photos photosynphotos,related to,photosynthesis photos
thetic,related to,photosynthesis
photos,related to,thetic
##thesis,related to,photos
end,related to,##thesis
photosynthesis,related to,the
title organisms,related to,photosynthesis
photosynthesis,related to,title organisms
title,related to,photosynthesis
photosynthesis,related to,title
day,related to,title
photosynthesis,related to,oxygen
photosynthesis,related to,oxygen cycle
end,related to,oxygen cycle
photosynthesis,related to,text
bio,related to,oxygen cycle
cycle,related to,oxygen cycle
cycle,attribute,biogeochemical
photosynthesis,related to,cycle
driving,related to,title
driving,attribute,main
driving work factor,attribute,main
driving work,attribute,main
oxygen cycle,related to,driving work
photos,related to,oxygen cycle
atmosphere,related to,oxygen cycle
atmosphere,related to,photos
cycle,related to,photosynthesis
titletitle,related to,photosynthesis
ospher,related to,lithosphere
##tle,related to,ospher
title,related to,lithosphere
bios,related to,atmosphere
atmosphere,related to,bios
biosphere atmosphere,related to,atmosphere
atmosphere,related to,biosphere atmosphere
biosphere,related to,atmosphere
atmosphere,related to,biosphere
lithosphere lith,related to,biosphere
end,related to,lithosphere lith
osph,related to,text
atmosphere,related to,osph
atmosphere,related to,text
lithosphere,related to,biosphere
atmosphere,attribute,many
atmosphere,related to,oxygen
driving,attribute,main main
atmosphere,related to,driving
atmosphere,related to,factor
oxygen,related to,oxygen cycle
atmosphere,related to,photosynthesis
atmosphere,attribute,much
photosynthesis,are does,atmosphere
photos,related to,photosynthesis
end,related to,photosynthesis
photosynthesis,is is,photosynthesis
driving,related to,photosynthesis
photosynthesis,related to,driving
oxygen,attribute,main
main,related to,photosynthesis
photosynthesis,related to,process
end,related to,oxygen oxygen
oxygen,does,oxygen
oxygen,attribute,much
oxygen,related to,process
oxygen,attribute,great
process,related to,oxygen
main,related to,oxygen
oxygen,related to,titletitle
oxygen,attribute,responsible
oxygen,attribute,many
oxygen,related to,photos
oxygen,attribute,main main
oxygen,related to,earth earth
driving factor,attribute,main main
cycleq,related to,oxygen cycle
end,related to,photos
ynthesistitle,related to,photosynthesis
end,related to,ynthesistitle
are,related to,photosynthesis
process,related to,photosynthesis
houses,related to,type
style architecture,related to,type
type,related to,style architecture
end,related to,style architecture
homes,related to,type
homes homes,related to,type
architecture homes,related to,type
architecture architecture,related to,type
west,related to,text
background,related to,homes
architecture,related to,type
architecture,were were,background
homes,located located,background
homes,designed,background
homes,located,background
homes,located,north
tr tr,related to,east
background,related to,tr tr
houses,houses,background
background,related to,igraphy
##ers,related to,background
background,related to,##ers
background,analyzes,background
background,activity,##t
background,related to,drill
background,related to,core
background,related to,dates
background,related to,ologists
background,related to,bound
background,related to,timing
background,related to,timing timing
background,related to,bio
purpose,attribute,important
date,related to,background
background,activity,understand
background,related to,depositiona
deposition,provide,background
deposition,provide,bounds
deposition,provide,bound bounds
bound bounds,attribute,absolute
deposition,provide,bound
bound,attribute,absolute
background,related to,bounds
background,related to,bounds timing bound
timing timing,related to,timing
timing rate,related to,timing
background,related to,timing rate
rates timing,related to,timing
text,related to,prec prec
background,activity,do is is
bio,related to,background
background,related to,importance
provideers,want,bound
provideers,want,bounds
background,related to,climates
bio,found,background
##rop,related to,biost
background,related to,##rop
biostra,related to,background
biostra,##t,samples
##graph,related to,biostra
##graph,help,background
##graph,helpic,background
##grapher,related to,biostra
##graphers,related to,biostra
biostratigraphers,out,background
biostratigraphers,want,background
biostratigraphers,rock,background
biostratigraphers,know,background
biostratigraphers,understand,##cr
background,activity,##op
biostratigraphers,want,knowc
biostratigraphers,related to,background
biostratigraphers,understand,background
biostratigraphers,understand,the
biostratigraphers,understand,climate depos
climate depos,attribute,past
biostratigraphers,understand,climate
climate,attribute,past
background,related to,environment
background,related to,out
strc,related to,background
bio,found found,background
biostr,purpose,background
##graph bio,related to,biostra
background,related to,##graph bio
biostratigraphers,understand,drill
biostratigraphers,understand,cores
cores,attribute,past
out,related to,background
biostratigraphers,understand,climates
climates,attribute,past past
background,activity,look
background,related to,str
book,attribute,first
scholar,related to,name
title,related to,scholar
scholar,related to,title
title,related to,origin
title,related to,formation
origin,related to,title
origin,attribute,first
person,related to,name
person,attribute,persian
field,related to,name
name,proposed,title
explanations,related to,name
earthquakes,related to,origin
animal shells,attribute,fossil
mountains,related to,geology
geology science,was,end
literature,related to,text
mountains,related to,background
hypo,activity,believe
background,believe,background
background,activity,formed
background,sin,background
background,activity,believe
background,related to,garrison
background,activity,field
background,ibn,background
background,related to,shen
background,related to,origin
background,activity,was is
background,shen,background
background,activity,believed
background,believe,religion
background,related to,origins
background,related to,##q mountain
background,related to,notology
background,related to,science
religion,activity,believe
background,was,end
mountains,related to,text
base,related to,background
shen,related to,background
background,activity,believe observe
shen k,related to,background
background,related to,shen k
background,born,background
background,activity,born
theory,related to,theory theory
theory,related to,earth
title,related to,earth
title,was,theory
theory,attribute,first
title,published,theory
theory,related to,book
theory,related to,##q
theory,related to,ideas
title,related to,vol vol
title,activity,published
title,published,title
time,attribute,enough
mountains,eroded,sediment
mountains,eroded,sediments
rocks,activity,form
rocks,attribute,new
theory,presented,background
background,activity,published
background,activity,presented
society,activity,published
end,related to,side
freeway,related to,freeway freeway
name,related to,west
west,related to,name
side,related to,name
side,attribute,west
name,related to,side
side,divides,name
neighborhood,related to,side
titletitle,related to,community
center,related to,side
title,related to,center
side,related to,title
neighborhood,related to,title
title,related to,neighborhood
neighborhood a,related to,title
title,related to,neighborhood a
title,related to,community
community,related to,title
end,related to,community
title,related to,west
title,related to,side
side side,attribute,west
title,related to,neighborhood neighborhood
neighborhood,attribute,principal
name,related to,##side
center,related to,name
name,related to,center
community,related to,name
name,related to,community
southwest,related to,name
name,related to,southwest
name,related to,fresnotitle
name,related to,freeway
freeway,related to,name
name,related to,runs
side,related to,downtown
divides,related to,freeway
groups,attribute,american
center,related to,neighborhood
q order,activity,supposed
text,have,background
background,supposed,background
background,related to,theories
idea,related to,background
background,related to,idea
theory,activity,did
not ',activity,born
paper,activity,born
background,activity,publish
background,related to,community
boulevard,related to,title
title,lined,title
boulevard,related to,name
boulevard,was,population
title,was,neighborhood
street,related to,title
title,related to,street
neighborhood,was,title
neighborhood,named,title
neighborhood neighborhood,related to,title
street,related to,neighborhood
title,related to,effort
title,related to,kear
##tle,related to,boulevard
section,related to,neighborhood
end,related to,neighborhood
title,activity,produced
map,related to,name
map,attribute,first
title,related to,map
map map,attribute,geological
title,related to,map map
map,attribute,geological
thetitle,related to,map
was year,related to,title
title,was,year
map,related to,was year
##q,related to,observations
observations,related to,##q
observations,related to,geology
the,related to,geology
observations,related to,the
##ana,related to,geology
observations,related to,##ana
title,related to,geology
observations,related to,title
observations,related to,year
observations,related to,was
observations,related to,transactions
nation,related to,transactions
observations,related to,nation
was,related to,nation
observations,related to,did
map,related to,nation
map,attribute,first first geographical
observations,related to,map
first,related to,nation
observations,related to,first
map map,related to,nation
map map,attribute,first geological
observations,related to,map map
map,activity,did
map,related to,map map
map,produced,map
background,related to,mountainsq
mountains,produced,background
background,related to,map
background,related to,memoir
observations,related to,society
background,related to,observations
background,related to,geology
background boulevard,related to,background
end,related to,background boulevard
kind,named,background
neighborhood,related to,background
background,related to,neighborhood
kear,related to,background
background,related to,kear
street,related to,background
background,related to,street
background,related to,subdivision
background,related to,section section
background,related to,boulevard
neighborhood,related to,boulevard
end,related to,streets
title,related to,airport
title,related to,airport airport
strawberry,related to,title
lots,related to,title
vineyards,related to,strawberry fields
neighborhood,related to,vineyards
background,related to,maps
year,produced,background
##ure,related to,background
background9,related to,background
background,produced,background
map,related to,background
map,attribute,entire
earth,attribute,entire
earth,produced,background
earth,created,background
world,related to,earth
memoir,related to,background
name,was,background
scl,related to,name
background,related to,scl
background,published,background
background,related to,inaq
produce,related to,background
produce,born,background
begin map,produced,background
background,did published,background
background,publish,background
principles,related to,theory
principles,related to,origin
uniform,attribute,uniformitarian
##itarianism,attribute,uniform
end,related to,##itarian
uniform,related to,text
##ism,related to,uniform
uniform,related to,##ism
uniform,related to,title
uniform,attribute,great
uniform,related to,theory
uniform,related to,doctrine
end,related to,ism
uniform,related to,states
uniform,related to,titleq
uniform,attribute,american
background,related to,facilities
titletitle,activity,are
strawberry,related to,background
background,related to,strawberry
inq,related to,neighborhood
has,related to,background
background,related to,has
fields a,related to,name
fields,related to,name
shopping,related to,name
title,related to,estate
title,related to,park
uniformitarianism,related to,text
end,related to,uniformitarianism
uniform,related to,##tle
theory,states,earth
theory,states,doctrine
theory,states,name
uniform,related to,features
uniform,attribute,catastrophic
uniform,attribute,geological
uniform,related to,catast
theory,states,features
uniform,activity,have
uniform,activity,formed
events,activity,formed
single,activity,formed
events,attribute,catastrophic
uniform,activity,remained
uniform,activity,remain
end,related to,catastrophism
theory,related to,catastrophism
earth,activity,formed
end,related to,whichism
doctrine theory,related to,theory
backgroundism,related to,text
background,related to,catast
uniform,related to,background
background,related to,uniform
doctrine,related to,background
background,related to,doctrine
background,related to,doctrine theory
doctrine,activity,name
name,believe,background
background,activity,influenced
background,occurring,background
features,formed,background
background,activity,promote
name,formed,background
name,promote,background
trails,related to,name
bird,related to,name
park,related to,name
trail,related to,name
amph,related to,name
park park,related to,name
bird park,related to,name
sanctuary,related to,park
amph,related to,park
name,related to,amph
name,related to,park
##am,related to,name
background,related to,park park
background,related to,park
background,related to,bird
background,related to,amph
